transacao_id,idade_usuario,categoria_produto,meio_pagamento,tipo_dispositivo,valor_transacao,tempo_sessao_segundos,tentativas_senha_bloqueadas,distancia_km_cadastro,compras_ultimos_30d,ruido_latencia_ms,pin_autenticacao_app,dispositivo_fingerprint_hash,transacao_fraudulenta
TRX-50072,36.1,Eletronicos,Pix,Mobile,408.73,705.6,0,11.6,1,36.78,765,DEV-59628,0
TRX-50073,,Eletronicos,Cartao_Credito,Desktop,31.57,1701.9,1,35.9,2,-123.42,406,DEV-B83F5,0
TRX-50074,22.6,Games,Voucher,Mobile,155.45,584.4,2,132.4,2,-30.34,523,DEV-B3780,1
TRX-50075,40.7,Eletronicos,Cartao_Credito,Mobile,712.47,993.2,2,3.7,4,-137.95,168,DEV-B75D4,0
TRX-50076,41.7,Vestuario,Cartao_Credito,Mobile,762.23,1413.7,0,21.8,5,52.59,341,DEV-2A6E3,0
TRX-50077,44.7,Games,Boleto,Desktop,81.3,1604.3,1,37.3,2,-12.99,171,DEV-78DC8,0
TRX-50078,24.6,eletronicos,Cartao_Credito,Mobile,1257.95,164.7,1,26.6,7,-202.41,618,DEV-89DEE,0
TRX-50079,32.7, ELETRONICOS ,Cartao_Credito,Mobile,470.62,1338.8,0,227.2,5,41.24,113,DEV-63AC7,0
TRX-50080,,Eletronicos,Boleto,Mobile,212.92,1390.4,0,19.8,4,0.98,221,DEV-7FC48,0
TRX-50081,32.2,eletronicos,Boleto,Mobile,660.52,1313.8,0,178.4,1,-153.02,547,DEV-AFD19,0
TRX-50082,38.9,eletronicos,Cartao_Credito,Desktop,708.87,383.8,1,168.9,11,198.34,729,DEV-4FF3E,0
TRX-50083,29.2,Beleza,Pix,Mobile,211.43,274.7,0,230.9,1,-94.17,296,DEV-B7AE6,1
TRX-50084,47.0, ELETRONICOS ,Cartao_Credito,Desktop,484.77,573.6,0,76.0,5,-161.94,987,DEV-BA0DF,0
TRX-50085,33.3,Beleza,Boleto,Tablet,481.03,1749.7,4,264.9,2,91.91,199,DEV-BFF3E,1
TRX-50086,39.0,Eletronicos,Boleto,Desktop,1152.34,465.4,0,36.8,5,147.92,864,DEV-883E4,0
TRX-50087,35.6,Eletronicos,Pix,Mobile,1630.04,1195.4,1,68.1,4,76.97,766,DEV-3E5EC,0
TRX-50088,49.4,Eletronicos,Pix,Desktop,613.05,1382.8,0,325.4,2,-56.93,456,DEV-C7660,1
TRX-50089,45.5,Eletronicos,Pix,Mobile,3303.92,1119.1,0,156.2,1,230.86,362,DEV-292F4,1
TRX-50090,47.8, ELETRONICOS ,Cartao_Credito,Mobile,294.25,913.0,1,84.1,4,-141.78,386,DEV-D16B7,0
TRX-50091,37.9, ELETRONICOS ,Pix,Mobile,369.6,1702.4,1,85.5,3,-127.46,691,DEV-8FA21,0
TRX-50092,37.1,Games,Pix,Mobile,27.68,1566.7,1,17.6,3,237.34,479,DEV-E3E25,0
TRX-50093,39.3,Eletronicos,Boleto,Mobile,80.09,492.3,1,11.2,2,-74.63,296,DEV-7DFDA,0
TRX-50094,47.9,Beleza,Pix,Mobile,1639.14,1754.7,0,38.9,1,-22.58,735,DEV-649D5,0
TRX-50095,43.6, ELETRONICOS ,Cartao_Credito,Mobile,92.18,731.0,1,79.8,4,0.49,615,DEV-8F351,0
TRX-50096,39.3,Vestuario,Cartao_Credito,Desktop,464.64,1421.8,1,30.5,6,-26.59,561,DEV-64988,0
TRX-50097,18.7,Beleza,Boleto,Desktop,1392.85,555.2,1,7.2,3,-23.04,482,DEV-288FB,0
TRX-50098,35.2, ELETRONICOS ,Voucher,Tablet,898.79,1640.7,1,127.7,6,42.36,200,DEV-31F7D,0
TRX-50099,34.5,Beleza,Cartao_Credito,Desktop,134.58,1658.7,0,290.2,4,-108.34,664,DEV-4FF08,0
TRX-50100,45.1,Eletronicos,Pix,Mobile,728.62,111.9,0,113.3,1,-120.48,970,DEV-E0D11,1
TRX-50101,19.8,Eletronicos,Pix,Mobile,135.71,209.6,0,131.5,2,241.69,478,DEV-82703,0
TRX-50102,33.0,Beleza,Cartao_Credito,Mobile,831.31,1113.4,2,204.5,3,-166.25,615,DEV-D7258,1
TRX-50103,37.0, ELETRONICOS ,Boleto,SmartTV,2566.3,1696.1,0,46.2,2,238.58,360,DEV-78C39,0
TRX-50104,29.5, ELETRONICOS ,Voucher,Desktop,551.49,300.0,0,119.6,1,119.03,135,DEV-9C35C,1
TRX-50105,32.7,Vestuario,Cartao_Credito,Desktop,114.84,125.2,0,38.8,1,-33.14,982,DEV-75430,0
TRX-50106,16.8,Beleza,Cartao_Credito,Mobile,250.24,958.2,0,386.8,4,166.44,733,DEV-97D11,0
TRX-50107,25.8,Vestuario,Cartao_Credito,Mobile,132.65,1526.0,1,106.9,2,177.26,755,DEV-60E1F,0
TRX-50108,32.9, ELETRONICOS ,Boleto,Desktop,1945.69,458.7,1,6.6,5,230.56,621,DEV-49C19,1
TRX-50109,19.0, ELETRONICOS ,Boleto,Desktop,326.36,623.4,1,61.0,1,23.31,117,DEV-4454E,0
TRX-50110,42.8, ELETRONICOS ,Cartao_Credito,Desktop,322.88,1078.4,0,89.0,5,139.47,126,DEV-50C03,0
TRX-50111,33.0, ELETRONICOS ,Pix,Mobile,79.72,1525.2,2,51.1,1,-258.7,641,DEV-52641,0
TRX-50112,14.2,Vestuario,Pix,Mobile,52.76,419.2,1,125.9,2,-162.92,296,DEV-CD349,0
TRX-50113,38.0,Vestuario,Voucher,Desktop,1003.88,1646.2,0,24.1,3,-140.58,376,DEV-A5745,0
TRX-50114,34.9, ELETRONICOS ,Cartao_Credito,Desktop,212.46,1599.2,1,12.3,3,170.29,495,DEV-DC20A,0
TRX-50115,46.3, ELETRONICOS ,Boleto,Desktop,2077.97,1397.8,1,20.5,4,-45.79,465,DEV-E72BF,0
TRX-50116,23.3,Eletronicos,Cartao_Credito,Mobile,2322.5,1598.3,0,181.0,7,-143.68,552,DEV-8BBDD,0
TRX-50117,47.7,eletronicos,Cartao_Credito,Mobile,674.62,536.1,0,372.6,4,106.01,773,DEV-C9D66,0
TRX-50118,36.6,Vestuario,Cartao_Credito,Mobile,585.31,277.8,0,434.7,3,19.91,307,DEV-D6AA1,1
TRX-50119,31.6, ELETRONICOS ,Cartao_Credito,Tablet,379.24,1062.6,0,65.9,2,-163.35,244,DEV-E32AB,0
TRX-50120,37.7,Vestuario,Cartao_Credito,Desktop,1152.97,256.0,0,18.8,4,-16.93,375,DEV-5FD0C,0
TRX-50121,17.1, ELETRONICOS ,Boleto,Mobile,820.76,1470.8,1,33.5,2,27.68,710,DEV-69C8D,0
TRX-50122,43.5,Vestuario,Cartao_Credito,Mobile,54.73,1034.9,1,17.9,2,224.36,610,DEV-D9721,0
TRX-50123,44.1,eletronicos,Boleto,Desktop,322.44,1284.3,0,581.9,1,-256.79,285,DEV-60564,1
TRX-50124,35.5, ELETRONICOS ,Boleto,Desktop,637.23,1396.2,1,329.5,2,-77.6,199,DEV-277F0,0
TRX-50125,33.7,Vestuario,Voucher,SmartTV,2102.15,1364.3,2,65.9,6,-98.99,382,DEV-267FB,1
TRX-50126,35.4, ELETRONICOS ,Voucher,Mobile,196.75,1713.2,0,70.4,2,-175.16,624,DEV-1AF29,0
TRX-50127,34.2, ELETRONICOS ,Cartao_Credito,Mobile,58.85,122.8,1,359.2,2,194.95,475,DEV-C2DFD,1
TRX-50128,46.3,Beleza,Boleto,Tablet,518.93,1553.4,0,376.1,3,126.44,779,DEV-3E344,0
TRX-50129,24.4,Eletronicos,Boleto,Desktop,157.55,534.8,1,174.3,2,-21.61,642,DEV-EC86B,0
TRX-50130,40.9,Vestuario,Voucher,Mobile,108.99,1336.3,4,153.6,1,-122.25,399,DEV-B45D9,1
TRX-50131,10.0,Beleza,Boleto,Desktop,161.97,1528.0,1,67.5,2,58.35,444,DEV-3940B,1
TRX-50132,47.6,Vestuario,Cartao_Credito,Mobile,,78.3,0,135.9,1,44.25,248,DEV-3533C,1
TRX-50133,52.8, ELETRONICOS ,Cartao_Credito,Mobile,125.93,241.5,0,29.0,4,-7.63,567,DEV-3D7C3,0
TRX-50134,25.5,Eletronicos,Cartao_Credito,Desktop,456.65,1116.4,1,131.0,3,176.54,779,DEV-192F2,1
TRX-50135,26.9, ELETRONICOS ,Cartao_Credito,Mobile,1682.2,720.7,1,173.6,2,-100.36,193,DEV-58250,1
TRX-50136,34.6,eletronicos,Boleto,Mobile,1029.12,650.8,1,254.2,0,54.25,773,DEV-2AB9F,1
TRX-50137,31.1,Games,Boleto,Desktop,777.28,1710.1,0,162.4,8,189.75,297,DEV-9F225,0
TRX-50138,46.5,Eletronicos,Cartao_Credito,Mobile,134.12,413.1,1,152.1,7,19.18,238,DEV-A25DD,0
TRX-50139,40.3,Eletronicos,Pix,Desktop,836.11,747.7,1,79.0,4,-38.28,888,DEV-B922C,0
TRX-50140,34.3,eletronicos,Boleto,Mobile,235.13,1093.5,0,70.1,3,-120.49,197,DEV-31890,0
TRX-50141,33.4,Eletronicos,Boleto,Mobile,,896.6,0,501.7,4,-73.46,796,DEV-6696E,0
TRX-50142,32.8,Beleza,Pix,Mobile,73.89,952.1,1,55.2,3,151.41,142,DEV-1A5FA,0
TRX-50143,45.6,Eletronicos,Cartao_Credito,Desktop,619.63,552.4,0,129.3,4,16.49,665,DEV-4CB0C,0
TRX-50144,49.1,Eletronicos,Cartao_Credito,Desktop,2134.85,929.1,1,13.3,4,-157.71,585,DEV-B53C3,0
TRX-50145,23.1, ELETRONICOS ,Cartao_Credito,Mobile,2180.9,468.1,0,98.3,3,200.03,139,DEV-DA5DA,1
TRX-50146,49.0, ELETRONICOS ,Cartao_Credito,Mobile,516.74,1439.6,0,291.8,5,19.01,859,DEV-40D93,0
TRX-50147,33.6,Vestuario,Pix,Mobile,,1767.1,1,145.8,7,37.74,328,DEV-68D3C,0
TRX-50148,36.0,Eletronicos,Boleto,Mobile,2280.04,977.1,0,122.4,3,41.86,643,DEV-E5263,1
TRX-50149,31.9,Eletronicos,Cartao_Credito,Desktop,,349.8,1,300.5,3,-57.26,239,DEV-EF880,1
TRX-50150,38.8,Vestuario,Cartao_Credito,Desktop,511.3,54.0,0,27.6,7,198.34,316,DEV-B0B31,0
TRX-50151,34.6,Beleza,Cartao_Credito,Desktop,2615.72,1253.4,0,74.9,6,78.91,429,DEV-9F42B,0
TRX-50152,46.2,Eletronicos,Cartao_Credito,Mobile,1748.42,673.0,1,141.3,4,198.06,693,DEV-EAB51,1
TRX-50153,46.8, ELETRONICOS ,Cartao_Credito,Tablet,101.79,223.2,0,46.4,7,-97.44,622,DEV-E48D6,0
TRX-50154,37.9, ELETRONICOS ,Cartao_Credito,Desktop,98.35,692.4,0,33.7,8,324.99,697,DEV-BA4A0,0
TRX-50155,46.0,Vestuario,Cartao_Credito,Desktop,1239.8,1133.2,0,367.6,4,-138.19,853,DEV-B0E20,0
TRX-50156,42.9,eletronicos,Pix,Mobile,1078.3,131.4,0,92.4,5,-46.47,513,DEV-C5C2F,0
TRX-50157,13.8,Vestuario,Cartao_Credito,Mobile,1503.9,647.4,0,91.7,3,79.58,572,DEV-26C01,0
TRX-50158,30.4,Eletronicos,Boleto,Mobile,1404.19,1566.2,0,91.2,2,1.4,669,DEV-74307,0
TRX-50159,33.3,Eletronicos,Pix,Desktop,122.21,595.4,0,225.7,3,60.53,159,DEV-EAF45,0
TRX-50160,24.7,Eletronicos,Cartao_Credito,Mobile,20.19,165.5,1,97.4,2,23.68,107,DEV-71851,1
TRX-50161,38.3,Beleza,Cartao_Credito,Mobile,55.51,778.7,0,8.5,2,-2.68,126,DEV-1F7CC,0
TRX-50162,49.2,Beleza,Pix,Desktop,472.03,419.5,1,285.7,3,79.61,173,DEV-C7E84,0
TRX-50163,24.2,Vestuario,Cartao_Credito,Mobile,861.01,1454.8,0,321.8,0,72.65,192,DEV-E8252,0
TRX-50164,29.2,eletronicos,Cartao_Credito,Desktop,61.52,274.0,0,4.5,4,19.14,408,DEV-CAFE1,0
TRX-50165,23.0,Vestuario,Cartao_Credito,Mobile,104.13,1242.3,0,13.7,4,99.94,458,DEV-5EDD0,0
TRX-50166,54.6,Eletronicos,Cartao_Credito,Mobile,170.63,556.8,1,49.9,8,162.18,906,DEV-207BE,0
TRX-50167,44.9,Games,Boleto,Mobile,64.37,741.9,0,78.9,3,150.43,441,DEV-9210C,0
TRX-50168,27.0,Games,Cartao_Credito,Mobile,286.87,1082.2,0,6.9,4,-1.6,874,DEV-B8E6D,0
TRX-50169,33.5,Eletronicos,Pix,Mobile,615.94,1792.0,0,49.7,5,52.73,441,DEV-D1227,0
TRX-50170,31.3,Games,Cartao_Credito,Mobile,411.6,1203.5,1,157.0,4,-194.2,916,DEV-4E6FB,0
TRX-50171,25.0,eletronicos,Cartao_Credito,Desktop,103.31,311.1,1,616.0,7,9.23,404,DEV-8535D,0
TRX-50172,31.7,eletronicos,Cartao_Credito,Mobile,59.75,1781.6,0,34.8,4,-4.04,883,DEV-22391,0
TRX-50173,36.8, ELETRONICOS ,Cartao_Credito,Mobile,399.37,271.2,0,37.0,1,-172.55,798,DEV-98056,0
TRX-50174,42.0,Beleza,Voucher,Mobile,96.98,850.5,0,211.7,5,153.84,516,DEV-BB0E5,0
TRX-50175,29.1,Vestuario,Cartao_Credito,Mobile,93.91,355.3,0,150.3,1,-12.95,628,DEV-72183,0
TRX-50176,31.0,eletronicos,Cartao_Credito,Desktop,36.66,1788.8,1,18.4,5,81.5,565,DEV-4FF66,0
TRX-50177,58.2,Eletronicos,Cartao_Credito,Desktop,1394.26,649.5,0,66.0,6,-64.59,896,DEV-4B190,0
TRX-50178,25.0,eletronicos,Cartao_Credito,Mobile,777.37,404.2,0,304.4,1,98.79,217,DEV-C7654,0
TRX-50179,28.9,Eletronicos,Cartao_Credito,Mobile,694.92,988.9,0,65.4,1,108.23,311,DEV-76EC1,0
TRX-50180,30.0,Beleza,Pix,Mobile,295.75,1516.9,0,161.0,4,129.15,228,DEV-F034E,0
TRX-50181,29.6, ELETRONICOS ,Cartao_Credito,Mobile,254.43,23.7,1,242.9,5,111.84,994,DEV-75863,0
TRX-50182,,Vestuario,Voucher,Mobile,1037.29,594.3,0,421.5,3,156.32,218,DEV-221C0,1
TRX-50183,24.8,eletronicos,Boleto,Mobile,111.29,879.0,2,112.1,6,-88.65,964,DEV-B3562,0
TRX-50184,999.0, ELETRONICOS ,Cartao_Credito,Mobile,209.97,1704.6,0,400.1,4,63.24,813,DEV-A7209,0
TRX-50185,39.6,Games,Voucher,Mobile,233.31,591.3,0,34.9,4,-175.59,608,DEV-B501A,0
TRX-50186,38.3,Eletronicos,Cartao_Credito,Mobile,68.28,283.0,0,82.7,4,-34.71,315,DEV-522B8,0
TRX-50187,41.7,Beleza,Boleto,Mobile,681.53,431.3,0,27.6,4,79.87,111,DEV-65507,0
TRX-50188,25.4,Beleza,Cartao_Credito,Desktop,118.34,1259.5,0,74.3,3,-99.88,459,DEV-B94FF,0
TRX-50189,58.4,eletronicos,Cartao_Credito,Desktop,,14.7,0,277.3,2,-90.84,261,DEV-C096E,1
TRX-50190,999.0,Eletronicos,Cartao_Credito,Desktop,412.56,1511.8,1,23.3,5,56.13,993,DEV-58579,0
TRX-50191,54.4, ELETRONICOS ,Boleto,Tablet,153.62,923.3,1,14.6,4,-258.85,548,DEV-3E069,0
TRX-50192,50.0,eletronicos,Boleto,Tablet,748.24,1105.3,0,119.3,4,-128.18,768,DEV-6C04B,0
TRX-50193,31.2,Eletronicos,Pix,Mobile,64.3,1000.5,0,11.8,5,-33.38,673,DEV-A215A,0
TRX-50194,33.0,Eletronicos,Pix,Mobile,338.8,97.4,0,65.2,1,180.3,117,DEV-4DC81,1
TRX-50195,23.9,Beleza,Voucher,Desktop,1197.86,1374.3,0,2.9,5,-75.66,838,DEV-CA33B,0
TRX-50196,45.8,Eletronicos,Cartao_Credito,Mobile,200.81,1219.2,1,112.3,2,35.12,772,DEV-3BD03,0
TRX-50197,41.8,eletronicos,Voucher,Mobile,,356.7,0,81.0,3,-78.2,236,DEV-CB29E,0
TRX-50198,43.3,eletronicos,Pix,Mobile,1213.24,651.8,0,200.9,4,99.91,124,DEV-E56D8,1
TRX-50199,44.8,Games,Cartao_Credito,Mobile,1196.02,1526.0,2,285.3,1,79.92,269,DEV-65281,1
TRX-50200,16.7,Eletronicos,Cartao_Credito,Mobile,696.25,426.9,0,265.5,2,-83.62,167,DEV-85E82,1
TRX-50201,54.9,Eletronicos,Boleto,Desktop,83.28,376.7,0,112.8,3,73.9,423,DEV-DA4D3,0
TRX-50202,36.3,Beleza,Cartao_Credito,Mobile,1373.78,1462.6,3,157.4,6,66.44,622,DEV-219EE,0
TRX-50203,44.8,Eletronicos,Pix,Desktop,392.0,312.0,0,447.1,2,-280.52,751,DEV-E300B,1
TRX-50204,32.7,eletronicos,Cartao_Credito,Desktop,573.36,1604.8,0,98.4,0,-45.99,108,DEV-99E14,0
TRX-50205,40.3,eletronicos,Cartao_Credito,Mobile,,394.5,0,117.8,9,-59.45,969,DEV-CAA51,0
TRX-50206,43.6,Eletronicos,Pix,SmartTV,452.75,204.5,1,93.1,7,224.57,455,DEV-94E2E,0
TRX-50207,20.4, ELETRONICOS ,Cartao_Credito,Mobile,242.3,42.8,1,30.1,1,60.79,710,DEV-BD389,0
TRX-50208,31.1,Eletronicos,Cartao_Credito,Mobile,102.89,316.3,2,90.5,2,30.26,552,DEV-50E02,0
TRX-50209,57.9,Vestuario,Boleto,Tablet,39.26,909.2,0,282.8,4,132.79,508,DEV-56481,0
TRX-50210,39.7,Beleza,Voucher,Mobile,237.2,1003.3,2,45.9,5,92.79,497,DEV-3839C,0
TRX-50211,19.3,Eletronicos,Cartao_Credito,Mobile,111.12,1786.9,1,97.4,2,50.31,858,DEV-65740,0
TRX-50212,20.2,eletronicos,Boleto,Desktop,49.44,1495.6,1,122.3,4,-220.41,406,DEV-A6C0A,0
TRX-50213,41.4,Eletronicos,Cartao_Credito,Tablet,1403.52,1271.0,0,83.9,4,-264.39,434,DEV-81C79,0
TRX-50214,10.2,Games,Cartao_Credito,Mobile,681.72,733.7,1,677.9,4,-186.6,528,DEV-5BC29,1
TRX-50215,32.0,Beleza,Cartao_Credito,Mobile,168.51,389.2,1,196.1,2,217.3,170,DEV-476B7,1
TRX-50216,25.4,Beleza,Cartao_Credito,Mobile,29.09,1391.0,1,457.0,2,96.42,661,DEV-54B37,1
